date,open,high,low,close,vol
20251008,80.0,89.5,78.79,86.36,388821.42
20251009,86.51,89.68,84.17,85.5,279857.85
20251010,85.2,86.7,80.0,83.16,378007.18
20251013,83.11,85.3,80.9,82.4,420691.65
20251014,82.0,87.8,81.5,86.91,285117.82
20251015,85.85,87.99,83.21,83.99,227498.61
20251016,84.0,86.7,81.0,84.21,210665.98
20251017,84.98,86.66,83.0,84.8,161410.82
20251020,85.0,90.38,84.8,90.38,340901.69
20251021,89.0,97.97,88.8,93.09,418511.8
20251022,90.97,93.33,88.68,91.9,237018.0
20251023,91.0,93.2,88.88,92.0,198644.53
20251024,92.9,96.58,91.61,95.18,254382.37
20251027,94.0,100.36,92.6,96.78,355026.27
20251028,96.0,101.51,93.85,98.0,325875.29
20251029,98.25,101.0,96.01,98.84,259427.61
20251030,98.7,105.0,96.99,103.98,395597.56
20251031,103.0,113.29,102.0,111.74,597604.85
20251103,108.0,112.8,105.7,108.7,324112.86
20251104,108.0,112.39,106.0,107.93,341384.67
20251105,108.0,112.0,106.68,107.97,304202.14
20251106,108.0,110.0,99.8,100.01,446800.13
20251107,100.0,103.51,98.18,101.19,291805.62
20251110,101.0,103.79,97.87,98.26,267410.37
20251111,99.98,103.96,97.1,99.0,306755.6
20251112,98.38,101.29,95.0,96.42,267064.03
20251113,96.95,99.86,95.0,97.37,238834.27
20251114,96.8,99.36,94.0,95.0,210967.62
20251117,95.78,101.99,94.2,100.87,335873.9
20251118,101.0,103.57,98.0,98.43,281104.37
20251119,99.98,101.68,95.8,96.96,282541.89
20251120,95.49,97.59,92.65,95.61,236777.87
20251121,93.9,98.55,91.68,96.18,283135.99
20251124,96.0,101.9,94.99,101.15,354330.68
20251125,99.0,100.9,96.0,97.02,245484.73
20251126,99.51,103.6,97.62,99.0,287818.99
20251127,99.99,103.89,97.88,102.05,308981.41
20251128,99.5,102.0,95.23,97.58,340413.72
20251201,100.0,103.0,97.8,101.0,291151.72
20251202,98.88,99.2,95.0,96.97,208702.07
20251203,98.98,100.88,95.98,97.02,228876.74
20251204,96.47,98.49,93.03,94.1,197049.88
20251205,93.69,95.3,90.25,93.7,206183.0
20251208,93.0,94.39,88.0,89.08,239667.55
20251209,88.0,93.5,87.0,91.51,296478.44
20251210,91.51,94.37,88.6,90.71,230761.07
20251211,90.0,93.57,89.0,92.73,225663.72
20251212,91.95,95.57,90.31,94.8,224674.51
20251215,93.4,98.78,93.0,96.9,233425.49
20251216,96.52,97.48,93.61,94.7,171442.49
20251217,95.18,97.84,93.0,94.3,174127.22
20251218,94.99,96.78,93.0,94.9,148066.3
20251219,95.0,100.0,95.0,98.51,196243.49
20251222,100.0,101.9,96.85,98.19,195380.32
20251223,98.08,103.5,96.7,102.23,249661.5
20251224,102.23,103.77,99.66,101.3,181176.73
20251225,101.0,104.56,98.68,103.9,222530.01
20251226,102.5,103.99,100.06,100.59,154957.6
20251229,102.0,103.79,99.88,101.61,157084.37
20251230,101.61,102.26,99.0,99.99,150744.42
20251231,100.28,101.8,97.11,98.0,185033.85
