trade_date,open,high,low,close,vol,pct_chg,SMA5,SMA10,SMA20,SMA60,EMA12,EMA26,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_DN,BOLL_WIDTH,RSI6,RSI14,K,D,J,WR,BIAS5,BIAS10,VOL_MA5,VOL_MA20,VOL_RATIO,MFI,TR,ATR14
2025-08-15,89.0,93.3,88.48,91.84,690499.46,2.6604,89.088,89.354,89.9375,,89.4925056148817,88.85617766010921,0.6363279547724829,,,89.9375,93.46158181397354,86.41341818602646,7.836735097091954,56.86059275521404,48.92541087231351,52.396527423565516,40.33686058712168,76.5158610964532,-20.62146892655359,3.0890804597701256,2.7821921794211835,529408.3359999999,389031.75599999994,1.3042852049084472,61.09471081776409,4.819999999999993,2.5400000000000014
2025-08-18,93.5,95.17,91.36,92.31,833423.13,0.5118,90.15799999999999,89.578,90.102,,89.92596628951527,89.11201635195297,0.8139499375622989,0.7649210143265037,0.09805784647159044,90.102,93.75069753257387,86.45330246742614,8.099037829512913,100.0,50.429975429975435,57.61258252818707,46.0954345674768,80.64687844960761,-31.955307262569814,2.386920739146848,3.0498559914264654,640254.334,419566.95499999996,1.301706346590697,69.4881861218699,3.8100000000000023,2.682142857142859
2025-08-19,91.67,92.48,89.35,89.35,744652.14,-3.2066,90.324,89.513,90.1155,,89.8373560911283,89.12964477032682,0.7077113208014794,0.753479075621499,-0.0915355096400392,90.1155,93.7502473668816,86.4807526331184,8.066863895515418,64.38026474127554,47.10269650028684,50.06574403182674,47.41887105559344,55.35948998429333,-65.02793296089392,-1.0783401975111861,-0.18209645526349347,678874.282,441928.52800000005,1.0968925465937742,64.90864479182709,3.1300000000000097,2.732142857142859
2025-08-20,89.4,92.49,88.19,92.28,858745.56,3.2792,91.048,89.663,90.26,,90.21314746172393,89.36300441696928,0.8501430447546596,0.7728118694481312,0.1546623506130569,90.26,94.00152234707804,86.51847765292197,8.290543645198387,69.42148760330576,57.12820512820513,55.94699509011913,50.261579067102005,67.3178271361534,-32.290502793296085,1.3531324136719085,2.918706712913916,773762.51,469038.33550000004,1.1098309221520697,73.55452499934894,4.299999999999997,2.8042857142857156
2025-08-21,92.3,94.11,90.8,91.05,606826.05,-1.3329,91.366,89.709,90.225,,90.3418940060741,89.48796705274933,0.8539269533247733,0.7890348862234596,0.12978413420262735,90.225,93.9206503594019,86.52934964059808,8.192076163816925,61.095636025998125,57.06967213114751,55.28682354238853,51.936660558864176,61.987149509437245,-46.03351955307266,-0.3458616991003245,1.4948332943182892,746829.268,473263.41149999993,0.8125365140349589,78.4863640443008,3.3100000000000023,2.875714285714287
2025-08-22,92.5,105.0,92.42,103.97,2061948.09,14.19,93.792,91.44,90.75,,92.43852569744732,90.56071023402716,1.8778154634201627,1.0067910016628003,1.7420489235147247,90.75,97.82489557296934,83.67510442703066,15.592056359161077,81.69506334643947,72.66797129810827,68.34335060701754,57.40555724158196,90.21893733788869,-5.484558040468589,10.85167178437393,13.70297462817148,1021118.994,554254.5765000001,2.019302453598273,83.11246764703358,13.950000000000003,3.6757142857142875
2025-08-25,106.0,109.24,101.1,103.17,1760636.98,-0.7695,95.96399999999998,93.061,91.2995,,94.08952174399388,91.49473169817328,2.594790045820602,1.3243908104943607,2.540798470652483,91.2995,100.28990067018853,82.30909932981146,19.694304284664288,76.5837634913186,70.97801847722204,69.36951559614101,61.39354335976831,85.32146006888642,-26.368375325803623,7.509065899712411,10.862767432114413,1206561.764,625154.423,1.4592182783607588,85.8925305359307,8.14,4.185714285714288
2025-08-26,101.0,102.57,100.13,100.93,856074.09,-2.1712,98.28,94.30199999999999,91.7375,,95.14190301414867,92.19364046127156,2.948262552877111,1.6491651589709109,2.5981947878124,91.7375,101.70673240459575,81.76826759540424,21.734257865313005,68.6741767764298,65.44901065449011,66.42053217098238,63.06920629683966,73.12318391926784,-36.09904430929622,2.696377696377702,7.028482959004066,1228846.154,653251.0234999999,0.6966487116498717,78.63872298069812,3.0400000000000063,4.297857142857145
2025-08-27,102.2,106.69,100.59,101.51,1422620.71,0.5747,100.126,95.587,92.295,,96.12161024274118,92.88374116784404,3.237869074897148,1.9669059421561585,2.5419262654819788,92.295,103.1477920249511,81.4422079750489,23.517616392981417,79.37198067632852,66.42599277978339,65.37299136022737,63.83713465130222,68.44470477807766,-33.57949609035617,1.3822583544733638,6.196449307960289,1341621.184,708881.1295,1.0603743642139747,80.75249467277814,6.099999999999994,4.594285714285716
2025-08-28,102.0,119.22,101.99,119.22,2420325.11,17.4466,105.76000000000002,98.563,93.781,,99.67520866693485,94.83457515541114,4.840633511523706,2.541651456029668,4.597964110988075,93.781,109.88885607610216,77.67314392389785,34.35206721212645,87.96505073280723,84.62356444066354,76.91532757348492,68.19653229202979,94.35291813639517,-0.0,12.726928895612685,20.95816888690482,1704320.996,806797.959,1.4201110680913067,87.40303667832644,17.709999999999994,5.578571428571429
